zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
35019,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36092,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35150,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36376,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36006,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35080,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35114,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35208,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35116,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35580,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36066,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36444,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36276,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36509,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36027,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36033,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36607,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36720,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36481,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36340,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36752,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36041,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35004,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35176,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36756,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35121,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36749,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35007,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35457,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36783,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36855,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35072,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36544,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35976,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36263,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36114,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35463,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35475,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36523,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36040,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35957,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36502,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36051,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35148,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36113,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35120,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36255,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36603,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35654,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36532,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36541,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35542,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36575,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35137,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36046,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36790,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36866,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35578,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35022,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35466,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36477,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35233,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35218,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35544,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35474,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35124,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35210,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36279,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35213,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36258,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36269,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36527,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35118,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35406,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35954,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36116,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36853,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35972,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35464,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36879,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36612,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35285,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36740,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35405,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36553,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35119,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36201,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35130,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36260,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35906,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35214,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35504,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35223,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36312,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36750,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35085,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36456,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35051,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35226,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35593,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36482,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35023,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36432,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35045,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36751,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35401,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36117,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36032,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36031,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36870,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35443,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36675,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36548,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36784,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36571,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35042,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36543,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36351,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36305,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35244,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35034,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36451,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36615,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35541,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36871,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35570,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35581,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36320,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36024,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36353,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35990,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35126,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36344,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35553,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35447,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36425,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36921,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35576,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35564,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36036,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36908,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35040,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35459,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36915,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36801,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36768,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36877,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36793,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35188,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35254,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35461,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36274,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36345,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35653,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36608,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35490,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35117,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36916,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36767,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35571,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35594,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36528,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36732,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36742,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35550,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36330,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36610,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36112,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36067,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36026,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35143,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35151,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36617,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35049,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35549,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35565,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36105,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36053,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36108,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35582,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35487,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35458,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35046,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35980,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35584,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35083,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36579,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36020,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35960,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35243,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36726,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36278,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35904,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35033,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36205,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36619,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36572,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35173,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35579,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36904,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36318,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35206,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36587,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35207,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36005,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35449,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35053,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35242,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36104,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35181,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36776,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35574,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36111,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36874,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35096,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35180,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35014,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
36272,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35054,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
35217,195,Alabama Power Co,AL,Bundled,Investor Owned,0.12189508655453701,0.06365153835251516,0.13505671376828454
